,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg_x,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,Replating,New_Stability
0,7,4,8,36,0.3,0.5,1.0696378182072632,1.0110648459152147,1.072001985770622,1.153468815457432,"[[  22  -40]
 [  21   54]
 [ -93 -184]
 [ -33 -159]
 [ 141   46]
 [-124  118]
 [ 145   -3]]","[[  69  119]
 [ -68   97]
 [-141 -137]
 [ -57   12]]","[[ 141   46]
 [-124  118]
 [ 145   -3]
 [  69  119]
 [ -68   97]
 [-141 -137]
 [ -57   12]
 [  27  -84]]",1.0,0.9,1.0
1,7,7,9,36,0.3,0.5,1.1119415772120687,1.1164448659693045,1.0547814173219825,1.0999210519457119,"[[  81 -193]
 [ 195   -3]
 [  28  -48]
 [-102   29]
 [  82  124]
 [-170  -16]
 [  18   -9]]","[[  87 -160]
 [ -40   62]
 [  67  -72]
 [-109  -89]
 [  82  -10]
 [ 193   18]
 [-109  161]]","[[  87 -160]
 [ -40   62]
 [  67  -72]
 [-109  -89]
 [  82  -10]
 [ 193   18]
 [-109  161]
 [ 197  -81]
 [  33 -103]]",1.0,0.9,1.0
2,10,8,5,36,0.3,0.5,1.1672522594325623,0.9429297613339881,1.027573039602078,1.195134635791662,"[[-183 -158]
 [  40  -43]
 [-181 -103]
 [-170 -181]
 [ 115 -162]
 [ 198  195]
 [ 174  -15]
 [ -81   88]
 [  82 -159]
 [-167  104]]","[[ 179   53]
 [ 134   97]
 [-171  111]
 [  49 -123]
 [  34  -32]
 [-156  -87]
 [ 145 -151]
 [   9  -43]]","[[  82 -159]
 [-167  104]
 [ 179   53]
 [ 134   97]
 [-171  111]]",1.0,0.9,1.0
3,1,5,5,36,0.3,0.5,0.0,1.1209837045083402,1.006565468970393,0.7036293605743253,[[ 22 120]],"[[ -31  -57]
 [ 100  181]
 [ 102 -181]
 [-167  -70]
 [ 158 -100]]","[[ 158 -100]
 [   2  188]
 [ 124   49]
 [ 116   -2]
 [  93   33]]",0.3,0.9,0.2
4,6,5,4,36,0.3,0.5,1.0941267795186411,1.1356494678796687,1.155990347171289,1.1694321513677786,"[[-159  133]
 [-192 -177]
 [ -11 -132]
 [  25  -50]
 [ -54  142]
 [  10   28]]","[[ -91  142]
 [-132  -27]
 [-103 -192]
 [  12 -194]
 [-150  108]]","[[  10   28]
 [ -91  142]
 [-132  -27]
 [-103 -192]]",1.0,0.9,1.0
5,1,8,9,36,0.3,0.5,0.0,1.1346327791128512,1.2954008996909927,1.1497332769119517,[[-67  23]],"[[ 167   82]
 [  91  -37]
 [   3   41]
 [ -87  189]
 [  32   35]
 [   7   32]
 [-103   38]
 [  16   99]]","[[  16   99]
 [-113  140]
 [ -15   23]
 [  11 -133]
 [-168 -179]
 [ 123 -156]
 [ 128  -97]
 [ 155  -71]
 [ -70   73]]",1.0,0.9,0.0
6,2,10,6,36,0.3,0.5,0.35994068307700605,1.3486305663703086,1.3052310322350755,1.0836699237125258,"[[-103   10]
 [ -75  -41]]","[[-150  199]
 [  19  -90]
 [ -59 -105]
 [-169  107]
 [-154 -193]
 [  96   21]
 [  98 -147]
 [-184 -142]
 [-113  -91]
 [  77  -25]]","[[-113  -91]
 [  77  -25]
 [-193 -102]
 [-132 -117]
 [  85 -188]
 [ 114  101]]",0.1,0.9,0.0
7,2,10,9,36,0.3,0.5,0.4008502665444846,0.9090852103435526,0.8259042630866437,1.0724190756199707,"[[-152   25]
 [ -76   36]]","[[  61   25]
 [  72 -109]
 [ 144   73]
 [  83  109]
 [-173   20]
 [ 155   35]
 [  -2    5]
 [ -92  -92]
 [  -4 -108]
 [ 126 -107]]","[[  -4 -108]
 [ 126 -107]
 [  -7  181]
 [ -71  -69]
 [ 118  177]
 [  80  -63]
 [ 106 -195]
 [  43  -76]
 [ 123 -172]]",0.0,0.9,0.0
8,3,1,3,36,0.3,0.5,0.8619911575029313,0.0,1.2860066036312665,1.6075306907708942,"[[135 -53]
 [ 14   8]
 [188  47]]",[[-38  51]],"[[ 14   8]
 [188  47]
 [-38  51]]",1.0,0.9,0.7
9,8,6,10,36,0.3,0.5,0.9199592380641662,0.7584819606913776,1.024044850819641,1.253791663266114,"[[  59  -65]
 [ -51   25]
 [  62    9]
 [ 108 -199]
 [  -3   10]
 [ 198  -73]
 [-139   -5]
 [-170  -16]]","[[ -53   19]
 [-143  109]
 [ -59  153]
 [  93   -6]
 [  -7  125]
 [  39  198]]","[[-139   -5]
 [-170  -16]
 [ -53   19]
 [-143  109]
 [ -59  153]
 [  93   -6]
 [  -7  125]
 [  39  198]
 [  93 -162]
 [ 164  168]]",1.0,0.9,1.0
10,4,3,8,36,0.3,0.5,1.0949746004069127,1.110950840550519,1.0942997052901113,1.0850328316183528,"[[ 193   -1]
 [-109 -173]
 [ -71   12]
 [ -57  192]]","[[   2 -181]
 [ 162  185]
 [ 162  -60]]","[[ -57  192]
 [   2 -181]
 [ 162  185]
 [ 162  -60]
 [ 194  -99]
 [-142  132]
 [  88  102]
 [-170   99]]",0.8,0.9,1.0
