,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,s1
0,6,9,1,12,0.3,0.5,1.2431683963414757,0.9504283836257755,0.0,0.0,"[[  88  165]
 [  28 -162]
 [   6   86]
 [ 122   13]
 [ 111 -158]
 [-154  144]]","[[ 149   84]
 [ -85   33]
 [-174  121]
 [  43  183]
 [ 130   83]
 [ 116 -118]
 [  34  -36]
 [  17   59]
 [  52  -22]]",[[ 43 183]],0.4,"frozenset({-158, 165, 6, -154, 13, 111, 144, 86, 88, 122, 28, -162})"
1,3,9,5,12,0.3,0.5,1.0242498276036307,0.9697691357655219,0.7321625185944919,0.9402272374010289,"[[-163  -69]
 [  73 -111]
 [  58   57]]","[[ -86  105]
 [-157  -13]
 [ 196    8]
 [  55  148]
 [ -94 -194]
 [-151   56]
 [-145  120]
 [  19  200]
 [-136   58]]","[[-145  120]
 [  19  200]
 [-136   58]
 [ -49  -71]
 [-149  102]]",0.2,"frozenset({-111, 73, 58, -69, -163, 57})"
2,3,5,2,12,0.3,0.5,0.5372065341626086,1.135707751079407,1.6011514914275284,1.6976803402645166,"[[ 54 -62]
 [ 28  56]
 [-15 -17]]","[[-172   12]
 [ 108 -165]
 [-107   61]
 [  -3 -193]
 [  18 -173]]","[[-107   61]
 [  -3 -193]]",0.6,"frozenset({-15, -62, 54, 56, 28, -17})"
3,6,5,5,12,0.3,0.5,0.9822390856087715,0.9893822797369507,1.0430558220615684,1.1731255929424818,"[[   1  -10]
 [ 146 -125]
 [ 143  176]
 [  21 -165]
 [  95  115]
 [ 163  -84]]","[[ 194    2]
 [   1  -86]
 [-147 -140]
 [  42 -180]
 [ -67   -1]]","[[ 163  -84]
 [ 194    2]
 [   1  -86]
 [-147 -140]
 [  42 -180]]",0.8,"frozenset({1, -125, 163, -84, 143, 176, 146, 115, 21, -10, -165, 95})"
4,9,3,2,12,0.3,0.5,0.9567934017993869,0.8808743554486652,1.3544845626410253,1.3300626591831792,"[[ -61   93]
 [-134  -60]
 [  50   27]
 [-117 -103]
 [ -11   44]
 [ -72  -87]
 [ 115  -72]
 [ -32   60]
 [-138  187]]","[[ -80 -148]
 [  89  -58]
 [-120 -113]]","[[-117 -103]
 [ -11   44]]",0.7,"frozenset({-61, -60, -117, -103, 27, 93, -32, -87, 44, 50, 115, -11, -138, -72, -134, 187, 60})"
5,10,10,7,12,0.3,0.5,1.113901241921336,0.9844056467451151,1.0233639280217781,1.1566248981450407,"[[ 132  126]
 [  26 -155]
 [ 164  161]
 [ -30 -142]
 [  62 -112]
 [  24 -174]
 [-192  -60]
 [-171  109]
 [ 171 -200]
 [  12  118]]","[[-187 -129]
 [  67  -65]
 [  75   22]
 [-126 -188]
 [ -22  124]
 [  93  146]
 [ 166  -35]
 [  87 -158]
 [-151 -158]
 [  37   44]]","[[-187 -129]
 [  67  -65]
 [  75   22]
 [-126 -188]
 [ -22  124]
 [  93  146]
 [ 166  -35]]",1.0,"frozenset({-192, 132, -60, 12, -112, -174, -171, 24, 26, 161, -30, 164, -155, 171, 109, -142, 118, -200, 126, 62})"
6,4,5,5,12,0.3,0.5,1.2744261214228865,1.1161747335060985,1.005654700070478,1.1274763912753216,"[[125 177]
 [-84 192]
 [ -6 -85]
 [ 39 -89]]","[[ 84 185]
 [  0 -49]
 [133 -85]
 [-81 165]
 [-75  82]]","[[   0  -49]
 [ 133  -85]
 [ -81  165]
 [ -75   82]
 [-158   23]]",1.0,"frozenset({192, 39, -89, -85, -84, 177, -6, 125})"
7,3,6,3,12,0.3,0.5,0.4002227555977743,1.0543406183470745,1.1905684635567864,1.0875348803609388,"[[  20 -109]
 [ -25 -196]
 [  -7 -110]]","[[ -29  168]
 [   8  -56]
 [ 109   89]
 [  98 -117]
 [ -79   42]
 [  98 -129]]","[[  98 -117]
 [ -79   42]
 [  98 -129]]",0.2,"frozenset({-110, -109, 20, -25, -7, -196})"
8,10,10,6,12,0.3,0.5,1.0300051402214954,0.9524591366492563,0.8757213955092008,1.0207654885297004,"[[  69 -146]
 [ -83   79]
 [ 144  199]
 [-127  189]
 [ 169  171]
 [  96  187]
 [ -52  -60]
 [  -2 -119]
 [-195  167]
 [-133  171]]","[[ 153    0]
 [ 168  158]
 [   9  155]
 [  37 -185]
 [ 154   69]
 [ -10  116]
 [-118 -182]
 [  67  -89]
 [ -47 -124]
 [ -11  177]]","[[ 153    0]
 [ 168  158]
 [   9  155]
 [  37 -185]
 [ 154   69]
 [ -10  116]]",1.0,"frozenset({-127, -60, 69, 199, -119, -52, 79, 144, 96, -133, 167, 169, 171, -83, -146, 189, 187, -195, -2})"
9,10,3,4,12,0.3,0.5,1.2369837119623561,0.8425866525316761,1.0960854166626373,1.1337262174460396,"[[  16  181]
 [-184  -80]
 [ 163  158]
 [ 121 -138]
 [  88 -166]
 [-113   18]
 [ -60  115]
 [ 134  -68]
 [ 123   80]
 [ -88   91]]","[[145  22]
 [-27 -49]
 [108  97]]","[[ 121 -138]
 [  88 -166]
 [-113   18]
 [ -60  115]]",1.0,"frozenset({-60, 134, -184, -113, 16, 80, 18, 88, -166, 91, 158, 163, -88, -80, 115, 181, -138, 121, 123, -68})"
