,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,s1
0,6,4,8,36,0.3,0.5,0.900542114160833,0.8462918093458021,1.1492086052073514,1.1809122851776184,"[[   3  -54]
 [  -4  124]
 [ 117  159]
 [ 187 -158]
 [ 127   46]
 [  43  -21]]","[[-115   51]
 [-112  -12]
 [ -77   72]
 [ 147  165]]","[[ 127   46]
 [  43  -21]
 [-115   51]
 [-112  -12]
 [ -77   72]
 [ 147  165]
 [ 188 -191]
 [ -57 -136]]",1.0,"frozenset({-158, 3, -54, 43, -4, 127, 46, -21, 117, 187, 124, 159})"
1,10,3,1,36,0.3,0.5,0.9825124334142712,1.3659096437080824,0.0,0.0,"[[-169  -81]
 [  41 -120]
 [ 172   80]
 [  48   83]
 [ 171    2]
 [-126  187]
 [ 192  168]
 [ -15 -183]
 [-181  -50]
 [ 158   47]]","[[-142 -148]
 [ -59  196]
 [ 166  -84]]",[[48 83]],0.5,"frozenset({192, 2, -126, -120, -183, -181, -50, 80, 83, -169, 158, 168, 41, 171, 172, -81, 48, 47, -15, 187})"
2,10,7,5,36,0.3,0.5,1.067200951942159,1.0783430339968252,0.6122638516406346,0.5744606790185698,"[[ -75   12]
 [-106   -7]
 [ 158 -125]
 [ 154  155]
 [-129 -113]
 [-163 -116]
 [ -71 -165]
 [  -2  147]
 [ 144  104]
 [ -94  151]]","[[ -32  180]
 [-123  138]
 [ -66 -119]
 [ -72 -151]
 [ -65   78]
 [-172 -151]
 [ 143 -167]]","[[  -2  147]
 [ 144  104]
 [ -94  151]
 [ -32  180]
 [-123  138]]",1.0,"frozenset({-125, 12, -116, -113, 144, 147, -106, 151, 154, 155, -165, -163, 158, -7, -94, 104, -75, -71, -2, -129})"
3,6,4,1,36,0.3,0.5,1.1337367996052194,1.0103154835308905,0.0,0.0,"[[ -48  105]
 [-104  -96]
 [  56  -55]
 [  31  192]
 [ 136  102]
 [ 178 -172]]","[[ 157   -6]
 [-107  -85]
 [ 176   31]
 [ -99 -126]]",[[136 102]],0.0,"frozenset({-96, 192, 102, 136, 105, -55, -48, 178, -172, -104, 56, 31})"
4,7,1,2,36,0.3,0.5,0.9938982428103244,0.0,1.247005081084614,1.3492342927925496,"[[ 145  125]
 [ -92 -104]
 [ -81  117]
 [-139   37]
 [ -19  100]
 [ 151 -190]
 [-180   89]]",[[-190  -83]],"[[ -92 -104]
 [ -81  117]]",0.8,"frozenset({-190, -92, 37, 100, -180, -19, -81, 145, 117, -139, 151, -104, 89, 125})"
5,7,4,8,36,0.3,0.5,1.0104413163514063,1.2558822282897226,1.143042635093274,1.1021148397513865,"[[  -4  -38]
 [ 148  146]
 [ 171 -148]
 [ -10  150]
 [ 172   13]
 [ 164  -34]
 [  78 -146]]","[[ 154   84]
 [  85  -84]
 [  99  195]
 [ -67 -145]]","[[ 172   13]
 [ 164  -34]
 [  78 -146]
 [ 154   84]
 [  85  -84]
 [  99  195]
 [ -67 -145]
 [-136  -28]]",1.0,"frozenset({164, 171, -148, 172, 13, 78, -146, 146, 148, -10, 150, -38, -4, -34})"
6,8,7,8,36,0.3,0.5,0.9250747354909885,0.9404731113625632,0.9883652814279869,1.1506028821270766,"[[-165  -31]
 [  87  140]
 [ 141  190]
 [ -93   -6]
 [  80  164]
 [-191   10]
 [-184  -64]
 [-176   77]]","[[  14  -58]
 [-129 -162]
 [-106   61]
 [ 183  -67]
 [-200 -198]
 [  -9   38]
 [   7   60]]","[[-176   77]
 [  14  -58]
 [-129 -162]
 [-106   61]
 [ 183  -67]
 [-200 -198]
 [  -9   38]
 [   7   60]]",1.0,"frozenset({-64, -191, -184, 10, 140, 141, 77, 80, -176, 87, -165, -31, -93, 164, -6, 190})"
7,6,2,5,36,0.3,0.5,1.2402188769108886,0.5244127592789669,1.1100376629969104,1.2765022531911117,"[[ -60 -119]
 [ 102   41]
 [ 117  -25]
 [  76  109]
 [  64  -14]
 [ 195  141]]","[[-16  19]
 [ 41 -17]]","[[117 -25]
 [ 76 109]
 [ 64 -14]
 [195 141]
 [-16  19]]",1.0,"frozenset({64, 195, -60, 102, -25, -119, 41, 76, 109, 141, -14, 117})"
8,8,5,5,36,0.3,0.5,1.2137084932990674,0.9617614165723489,0.8894405126590795,1.086143001517305,"[[ -85  -71]
 [ 174   67]
 [-163  104]
 [ -99 -153]
 [ 192   14]
 [ 124 -140]
 [  71 -191]
 [-104  -50]]","[[ 196 -106]
 [ -36 -168]
 [  36  -45]
 [-126   28]
 [  41 -114]]","[[ 124 -140]
 [  71 -191]
 [-104  -50]
 [ 196 -106]
 [ -36 -168]]",1.0,"frozenset({192, -191, 67, 71, 14, -50, -104, -99, -163, -153, 104, -85, 174, -140, -71, 124})"
9,1,2,8,36,0.3,0.5,0.0,1.2027924597115622,0.9319195055245437,1.1874005279127766,[[103 116]],"[[ 156  -77]
 [-114  -23]]","[[-114  -23]
 [-128  179]
 [  29 -179]
 [ 127 -169]
 [-170  -64]
 [-114 -136]
 [-177 -177]
 [ 157  185]]",0.2,"frozenset({116, 103})"
