,Unnamed: 0,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability
1,1,6,1,24,0.1,0.6,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
3,3,3,3,12,0.6,0.5,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
4,4,3,3,24,0.6,0.5,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
5,5,3,3,36,0.6,0.5,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
6,6,3,3,46,0.6,0.5,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
7,7,3,3,12,0.6,0.6,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
8,8,3,3,24,0.6,0.6,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
9,9,3,3,36,0.6,0.6,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
10,10,3,3,46,0.6,0.6,1.1203912033019263,1.4120792762958336,"[[  71   37]
 [   2 -106]
 [ -94   81]]","[[  32  -96]
 [ -14   87]
 [-171  153]]",1.0
11,11,6,1,36,0.1,0.6,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
12,12,6,1,46,0.1,0.6,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
17,17,6,1,12,0.3,0.5,1.116621143848631,0.0,"[[ -18 -178]
 [ -44   37]
 [-142  117]
 [ -70   13]
 [-132  184]
 [-139   72]]",[[-150  166]],1.0
