,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability
0,8,4,12,0.1,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.2
57,4,7,12,0.1,0.3,0.974617469586653,1.0190321823793744,"[[-108 -172]
 [-188  116]
 [  30   52]
 [ -89 -188]]","[[-111 -116]
 [ -98  151]
 [ -41  110]
 [ 198  -27]
 [-171 -105]
 [ 150   -2]
 [ 196   59]]",0.8
101,8,4,12,0.1,0.3,1.177532024727884,0.9261724713943936,"[[-178 -148]
 [-185  -45]
 [ 196    5]
 [ 199 -188]
 [-166  143]
 [-132  -16]
 [ 127  -79]
 [ -82   89]]","[[ 128   15]
 [   3  106]
 [-185    0]
 [-125  137]]",0.5
215,1,9,12,0.1,0.3,0.0,0.7571789235033516,[[ 163 -161]],"[[ 129  125]
 [ -91 -140]
 [ 181   23]
 [ 172   99]
 [ -51   38]
 [-188  -48]
 [  -2   69]
 [ 144  -23]
 [ -72   47]]",0.3
300,8,1,12,0.1,0.3,0.6952459307884866,0.0,"[[ -18 -160]
 [  33 -146]
 [ -37 -134]
 [  45    3]
 [ -24   84]
 [ 146  -14]
 [ -60  187]
 [ -98  -22]]",[[-196  123]],0.7
357,2,9,12,0.1,0.3,1.4745591776555538,1.0271345442156083,"[[-97 115]
 [198  91]]","[[ 137  109]
 [-101  118]
 [ 104  116]
 [  57   20]
 [-177  -71]
 [  80   25]
 [ 168  128]
 [-151 -147]
 [-111   10]]",0.3
464,4,7,12,0.1,0.3,0.980426108754632,0.9217223170387598,"[[-147 -156]
 [-112  -97]
 [ 172   -5]
 [ -97  -60]]","[[-126 -110]
 [  97  127]
 [  38 -149]
 [ -86   59]
 [  14   -6]
 [-110  107]
 [ -92   77]]",0.5
512,8,5,12,0.1,0.3,0.7993491188082456,0.7972920282404012,"[[  15 -149]
 [  -9   -1]
 [   7 -175]
 [ 136  -10]
 [  41   -4]
 [  47 -113]
 [ 158   95]
 [   6  -21]]","[[   1  -86]
 [  91 -170]
 [ -32 -185]
 [-133 -121]
 [-131 -185]]",0.8
624,8,1,12,0.1,0.3,1.0588286658200254,0.0,"[[-135   -9]
 [ 159   64]
 [-157   99]
 [ 126   78]
 [ 176   55]
 [ 158 -105]
 [-117 -196]
 [  12  170]]",[[-93 -98]],0.2
685,8,5,12,0.1,0.3,1.0355512397655997,0.9407548959012384,"[[ 101  154]
 [ -52 -154]
 [ -77 -156]
 [-192  146]
 [-157 -140]
 [-101 -188]
 [ 150  -61]
 [  86   66]]","[[ 132   29]
 [ 156  -84]
 [ 101 -148]
 [ -53   58]
 [ -79  189]]",0.7
733,10,3,12,0.1,0.3,1.0333181558482023,1.3112001602789645,"[[  36  115]
 [ -78   95]
 [ -65 -192]
 [-155  -87]
 [  80   31]
 [ 162 -149]
 [ 160 -186]
 [-197  -33]
 [-186  -67]
 [ -30  -68]]","[[-126  -30]
 [-141 -166]
 [ 163   95]]",0.4
793,2,10,12,0.1,0.3,1.5258562552460615,0.8560471230384687,"[[  52  150]
 [-163 -140]]","[[ 171  186]
 [ -19  142]
 [  85 -115]
 [ 119  -60]
 [-186 -105]
 [  78  -18]
 [ 114  -40]
 [  22  -99]
 [  96  -34]
 [ -97  188]]",0.4
861,3,9,12,0.1,0.3,1.1568771276288483,0.9150680530605444,"[[-191  105]
 [-105  -18]
 [  76    9]]","[[ -74 -150]
 [ -44  114]
 [ -44  160]
 [ -34   88]
 [ 139   38]
 [  77   20]
 [ -28  -29]
 [ 179    3]
 [  52   24]]",0.7
947,3,3,12,0.1,0.3,1.0033548566988624,0.975533993434318,"[[  22  -23]
 [-125   70]
 [-178  -97]]","[[-158 -188]
 [ -36 -155]
 [  73  -50]]",0.8
1038,1,5,12,0.1,0.3,0.0,0.7955402919149035,[[-164 -171]],"[[  74    2]
 [-136  -47]
 [ 125  -78]
 [  -1   72]
 [-190   24]]",0.7
1099,10,8,12,0.1,0.3,1.1968416301300129,0.8957772890577547,"[[ 160 -120]
 [-152  175]
 [ 107  175]
 [  84  174]
 [ 151  120]
 [-124  112]
 [ 149 -139]
 [ -24  -13]
 [ -22 -200]
 [  96  104]]","[[ 153  -94]
 [ -69   91]
 [  65   25]
 [-140   79]
 [ 167   89]
 [  68 -103]
 [ 117   40]
 [ -59   23]]",0.3
1159,10,4,12,0.1,0.3,1.1689082758820528,0.9567967813262798,"[[ 157 -163]
 [ 144  122]
 [ 155 -191]
 [ 183   67]
 [ 129  -25]
 [ -15 -190]
 [ 165  178]
 [-195   54]
 [-167   47]
 [  36   97]]","[[ -98 -111]
 [  58   61]
 [ 116  183]
 [   5  -59]]",0.4
1219,2,4,12,0.1,0.3,1.514901501540497,0.9094198605196888,"[[-150   61]
 [ 146 -135]]","[[  20  -21]
 [ -97 -107]
 [ 133  192]
 [ 105   62]]",0.8
1303,4,5,12,0.1,0.3,1.223315832041978,0.9637903994797716,"[[ -33  181]
 [ 142 -158]
 [ -36  110]
 [-134 -163]]","[[ -52 -133]
 [ -87   56]
 [-173   93]
 [-184   39]
 [ 177  107]]",0.7
1425,3,1,12,0.1,0.3,1.1760698110026997,0.0,"[[ 187 -192]
 [ 189 -188]
 [  57   89]]",[[  54 -167]],0.3
1485,2,2,12,0.1,0.3,1.5006084927928065,0.94164206912538,"[[  28 -144]
 [ -68  137]]","[[  7 198]
 [ 71  23]]",0.6
1510,8,8,12,0.1,0.3,0.7184076053246473,0.8370038438037039,"[[-191  159]
 [-117  143]
 [-105  113]
 [ 110  125]
 [ 118  106]
 [ 113   91]
 [ 192    7]
 [  91  155]]","[[  55    5]
 [-197  -45]
 [ -14 -196]
 [  34  100]
 [-184  -73]
 [ 147  -29]
 [ 124  -66]
 [  39 -186]]",0.3
1559,10,3,12,0.1,0.3,1.2094757276685275,1.0884417111316178,"[[  44   58]
 [-175 -142]
 [ -11  121]
 [ -12  123]
 [ 148   19]
 [ 115  -50]
 [-166   50]
 [-169   92]
 [-112 -134]
 [ 194 -179]]","[[-155  -54]
 [ -72  128]
 [  66  -21]]",0.4
1604,1,2,12,0.1,0.3,0.0,1.3264616923613013,[[-191  -86]],"[[-191   47]
 [ 169  159]]",0.5
1673,4,4,12,0.1,0.3,0.5797835017710912,1.2294562413153722,"[[-48  66]
 [-87  60]
 [ 74  32]
 [-31  82]]","[[-189  161]
 [  37  -41]
 [ -84   -9]
 [-193   15]]",0.8
1751,1,6,12,0.1,0.3,0.0,1.0113533723662669,[[  95 -173]],"[[  14 -143]
 [  46 -151]
 [-185 -119]
 [ 109   35]
 [-141  103]
 [-168  -67]]",0.7
1833,3,4,12,0.1,0.3,1.3895067098368232,1.1003544530422555,"[[-120   88]
 [ 113 -189]
 [ -78 -174]]","[[ -76  -55]
 [-103 -187]
 [  71 -199]
 [ 197  -64]]",0.3
1962,1,9,12,0.1,0.3,0.0,1.1480181519253772,[[-111 -149]],"[[-161   90]
 [  15  -34]
 [-116  -86]
 [ 199 -181]
 [ -23  -51]
 [-183  -29]
 [ 143 -199]
 [ -74 -110]
 [  94   59]]",0.2
2046,10,5,12,0.1,0.3,0.922035733537189,1.191456029293258,"[[ -67  -94]
 [ -72   24]
 [ -55  165]
 [  54  132]
 [ -67  -54]
 [-200  -88]
 [   7  -42]
 [-125  186]
 [ -11   28]
 [  25   96]]","[[-184  -52]
 [ -73 -137]
 [ -72   80]
 [ 139   45]
 [-197   44]]",0.7
2095,6,3,12,0.1,0.3,1.022542013841247,1.2684571116579502,"[[  12   52]
 [ 175 -182]
 [-103 -171]
 [ -51  -62]
 [  45 -116]
 [ 191  158]]","[[ 172   83]
 [-147 -145]
 [ -19  116]]",0.7
2135,9,4,12,0.1,0.3,0.8131466055532673,0.7477709049101053,"[[  -8   33]
 [ -79  148]
 [   4   17]
 [  37  -57]
 [  37 -105]
 [ -98  -96]
 [ -49  -82]
 [   8   40]
 [ 125  186]]","[[-165  142]
 [  -6  180]
 [ -73    4]
 [-113  176]]",0.8
2189,1,3,12,0.1,0.3,0.0,1.5099156565085268,[[-108  133]],"[[ 131  -73]
 [-164  101]
 [ -88   62]]",0.2
2260,4,6,12,0.1,0.3,1.0741254965923384,0.9436776513803172,"[[-185   -5]
 [-180   23]
 [ 103 -151]
 [ -26  177]]","[[ 138   97]
 [ -31 -190]
 [-117  165]
 [  26   10]
 [  74  -56]
 [  59  172]]",0.8
2285,4,6,12,0.1,0.3,1.1907042130773002,0.8831299825173134,"[[-160   87]
 [ -38   42]
 [ 191  -91]
 [ 188  132]]","[[  29  135]
 [ -51  133]
 [ -17 -186]
 [-156  -28]
 [-120  175]
 [ -71  -12]]",0.4
2392,9,9,12,0.1,0.3,1.1084491666836236,1.047334202122593,"[[-174   -9]
 [-139   33]
 [  51 -172]
 [ -81 -120]
 [ 151 -143]
 [ -23   36]
 [ 139  104]
 [ 144   -9]
 [  28  -40]]","[[  82   42]
 [ -89   55]
 [  -5 -180]
 [  87   81]
 [-138    1]
 [ 190  129]
 [ -42  -66]
 [ -98  -84]
 [  19 -143]]",0.4
2493,2,2,12,0.1,0.3,1.6614384627739052,1.1212863010241063,"[[-125 -168]
 [ 123  199]]","[[ -14  130]
 [ 142 -125]]",0.7
2498,6,9,12,0.1,0.3,0.9294999796596228,0.796580764368706,"[[-116  153]
 [  85   43]
 [  -1  164]
 [ 179  188]
 [ -86  -37]
 [ -86  -84]]","[[ -68   23]
 [ 119   71]
 [  63 -117]
 [  42   68]
 [ 161 -177]
 [ 156  -62]
 [ 191 -161]
 [ 132  168]
 [ 154  -99]]",0.6
2623,8,5,12,0.1,0.3,1.1731989199000317,1.0629438414402683,"[[ 108  109]
 [ 193 -126]
 [-180   70]
 [-195    5]
 [-119  -45]
 [   2  -78]
 [  81  157]
 [-160  163]]","[[  69  155]
 [-126  -46]
 [-101   12]
 [ 110 -145]
 [   6  157]]",0.2
2694,9,1,12,0.1,0.3,1.307961266071518,0.0,"[[  40  -67]
 [  -2    9]
 [-141  153]
 [-164  -68]
 [-138   22]
 [ 123 -144]
 [-125  -74]
 [ -31  -83]
 [ -28 -153]]",[[0 3]],0.2
2699,9,1,12,0.1,0.3,1.307961266071518,0.0,"[[  40  -67]
 [  -2    9]
 [-141  153]
 [-164  -68]
 [-138   22]
 [ 123 -144]
 [-125  -74]
 [ -31  -83]
 [ -28 -153]]",[[0 3]],0.2
2818,7,7,12,0.1,0.3,1.007556905412804,1.060979573996227,"[[ -52  172]
 [ 173 -153]
 [-156   25]
 [ -81  129]
 [  58  -70]
 [ 129  -74]
 [-128  -52]]","[[   1  152]
 [-132  -98]
 [ -82 -198]
 [  42   34]
 [ 142  173]
 [  67 -116]
 [ 135  161]]",0.8
2868,7,7,12,0.1,0.3,0.7779864353873623,1.1809346863524175,"[[ 55 170]
 [-77 -96]
 [ 23  79]
 [158   1]
 [155 190]
 [103 130]
 [119  37]]","[[  95  132]
 [   9  -13]
 [-171 -126]
 [  47  185]
 [ 153 -178]
 [-111   -5]
 [ 189 -135]]",0.7
2907,6,2,12,0.1,0.3,0.6092724577486318,0.1171061680740685,"[[ -75  -78]
 [  -6  -20]
 [ 178 -184]
 [-104  -73]
 [-117 -129]
 [  58 -146]]","[[164  71]
 [171  41]]",0.7
3017,5,2,12,0.1,0.3,0.9050838532828308,0.8788681520165081,"[[  24  -78]
 [ -97 -125]
 [ 163 -125]
 [ -81  113]
 [ -79 -109]]","[[ -45   12]
 [-175  147]]",0.5
3068,1,1,12,0.1,0.3,0.0,0.0,[[-177  198]],[[157  20]],0.9
3077,1,1,12,0.1,0.3,0.0,0.0,[[-181  101]],[[-48  11]],0.5
3242,1,10,12,0.1,0.3,0.0,1.2047205627676647,[[100 138]],"[[  74  162]
 [  88   53]
 [  44   32]
 [ -79  181]
 [ 123  118]
 [ -66  -42]
 [ -58 -173]
 [  11 -175]
 [ 192  -43]
 [-169  137]]",0.2
3360,3,6,12,0.1,0.3,0.9014701719169264,1.104083682510716,"[[  -2 -156]
 [ 188   46]
 [ 109  -25]]","[[ 121 -104]
 [ 122   67]
 [   1  177]
 [ 160  142]
 [  64  113]
 [-199  -92]]",0.2
3365,3,2,12,0.1,0.3,1.5523126191185483,0.8379102429405868,"[[ 109 -188]
 [  30  167]
 [  65    6]]","[[-33 -25]
 [ 69  57]]",0.8
3456,3,3,12,0.1,0.3,0.7778915516492615,1.0204130577452186,"[[  23 -187]
 [  99   -1]
 [  67   36]]","[[ -55 -127]
 [ 180 -197]
 [-115 -188]]",0.7
3514,5,2,12,0.1,0.3,1.1678164472661008,0.9247344315315048,"[[ 159  119]
 [-105 -102]
 [ -45  -27]
 [ 121  108]
 [-104 -153]]","[[ -27   36]
 [-176  -49]]",0.8
3554,7,4,12,0.1,0.3,0.9682338092763272,1.2213807217314545,"[[ 141 -168]
 [-154  -39]
 [   8 -143]
 [  89  105]
 [-181   59]
 [-139    3]
 [ -74  -56]]","[[  46  145]
 [-102  -11]
 [ 193  -83]
 [-171  111]]",0.8
3595,4,3,12,0.1,0.3,1.065947197626856,1.1386633116715328,"[[ -99 -187]
 [ 147  -77]
 [  81  -73]
 [-152   89]]","[[  58   88]
 [ 143   60]
 [-188 -110]]",0.5
3640,8,2,12,0.1,0.3,1.0023421318622232,1.2629692373134618,"[[-147 -176]
 [ 163   22]
 [ 177   61]
 [ -93  -85]
 [ 158 -200]
 [ 199   29]
 [ -14 -125]
 [ -94  126]]","[[-102 -190]
 [ -75  116]]",0.5
3702,8,3,12,0.1,0.3,0.773709451058599,0.9872323062142908,"[[ -72  199]
 [ -84 -131]
 [-127  191]
 [ 104  172]
 [  45  146]
 [-182  149]
 [-160  177]
 [-162   17]]","[[-166 -198]
 [ -12   -4]
 [ 102   61]]",0.7
3767,1,3,12,0.1,0.3,0.0,0.6529871554106753,[[173 -72]],"[[-176 -173]
 [ -15 -157]
 [ -22  -28]]",0.6
3810,5,2,12,0.1,0.3,1.2063783436113609,1.2847610739098227,"[[   6  -94]
 [  -4  110]
 [-110  -12]
 [-195   33]
 [ -93 -156]]","[[-136    3]
 [  53   38]]",0.2
3871,4,4,12,0.1,0.3,1.1167825209977933,0.9487023375538824,"[[  43  -68]
 [ -81 -145]
 [-176  189]
 [ -97  172]]","[[  11 -185]
 [-173  -74]
 [ -35  -29]
 [ 141   23]]",0.6
3929,2,1,12,0.1,0.3,1.2071832221622416,0.0,"[[-164  108]
 [ -64  -83]]",[[-189 -118]],0.3
3980,8,6,12,0.1,0.3,0.9119226711998988,1.208196000843566,"[[-181  -14]
 [ -47  -70]
 [  -9 -140]
 [ -21 -136]
 [  34   33]
 [ -68  -31]
 [ 198   -1]
 [ -41  197]]","[[ -68 -199]
 [  48 -185]
 [-188  172]
 [ 199  -75]
 [  84  -68]
 [-141  -67]]",0.8
4014,4,5,12,0.1,0.3,1.2936535430558038,0.865023260502975,"[[-154  156]
 [ 157  -72]
 [-138 -155]
 [-194  -97]]","[[ 176   34]
 [-171   44]
 [   3   57]
 [-118    7]
 [ -62  -85]]",0.3
4072,7,7,12,0.1,0.3,1.1575159310531913,0.8816526246833015,"[[  95   73]
 [-110   96]
 [ 189  153]
 [-126   89]
 [ 180  167]
 [  33  119]
 [-180 -197]]","[[ -30    3]
 [  -3   90]
 [  84  160]
 [-181   31]
 [  95   -3]
 [  54 -102]
 [-152  -13]]",0.8
4165,10,9,12,0.1,0.3,1.0235417421994255,1.1018958547273816,"[[ 158  114]
 [-119 -118]
 [  78   -3]
 [-141 -139]
 [  83  149]
 [-182   92]
 [ -66 -137]
 [  27  -30]
 [ 138 -119]
 [ 130  189]]","[[-147  146]
 [ 191 -103]
 [ 141  118]
 [-147   18]
 [-189  -87]
 [-105 -150]
 [ 104  186]
 [   5   58]
 [  52  185]]",0.8
4173,10,6,12,0.1,0.3,1.0903745266105231,0.7326472066627041,"[[ 101 -178]
 [  67   -6]
 [  15  166]
 [ 127  102]
 [-155 -144]
 [ -59 -131]
 [  39   80]
 [  90  190]
 [  82  -72]
 [  24  124]]","[[ -85 -112]
 [  77  -86]
 [  31 -119]
 [  57 -194]
 [ 140  -48]
 [  79   18]]",0.6
4238,5,5,12,0.1,0.3,1.1574721083299653,1.056738725638893,"[[ -11 -129]
 [  25   92]
 [-175  181]
 [ 124 -101]
 [-183  144]]","[[ -56  195]
 [ 163   44]
 [ -37   60]
 [ 127  -73]
 [ -92 -125]]",0.7
4397,7,7,12,0.1,0.3,1.0934666469978636,0.9441195121866104,"[[-126 -196]
 [-200  -91]
 [-103  151]
 [ -84  172]
 [  52 -189]
 [  84  110]
 [  63   74]]","[[ 152   53]
 [ -83  128]
 [-141   99]
 [ 132  163]
 [ 147   40]
 [-121 -146]
 [ 111  165]]",0.8
4446,6,1,12,0.1,0.3,1.3110045718085277,0.0,"[[ -38  -71]
 [-133  -57]
 [-183  191]
 [ -22 -168]
 [  35 -117]
 [ 189 -161]]",[[-134  -36]],0.5
4505,8,5,12,0.1,0.3,1.0900047752833355,0.9119583048679843,"[[ 121  -32]
 [ -53  173]
 [  73  127]
 [  99   -5]
 [-191  153]
 [ 147  -23]
 [-144   64]
 [  17  -73]]","[[  82  150]
 [ 115   26]
 [  17 -187]
 [  61   92]
 [  75  152]]",0.8
4587,8,4,12,0.1,0.3,0.8719195063178997,0.8720656335550803,"[[ -70 -166]
 [  93  -90]
 [-124 -165]
 [  43  178]
 [  16   62]
 [ -18  -43]
 [-124 -118]
 [  45  162]]","[[ 108  -95]
 [-139   62]
 [-188  142]
 [-163  134]]",0.4
4663,3,9,12,0.1,0.3,1.141387699945951,1.0779701056193929,"[[ 153 -186]
 [ -25  -50]
 [-143   27]]","[[ -57 -102]
 [-189  105]
 [ 143   14]
 [  -6  -25]
 [ 146  114]
 [-159 -135]
 [ 168  136]
 [-101 -158]
 [-134   28]]",0.2
