,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability
0,1,5,12,0.1,0.3,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",0.4
1,1,5,24,0.1,0.6,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",1.0
2,1,5,36,0.1,0.6,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",1.0
3,1,5,46,0.1,0.6,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",1.0
4,1,5,12,0.3,0.3,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",0.1
5,1,5,24,0.3,0.3,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",0.2
6,1,5,36,0.3,0.3,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",0.1
7,1,5,46,0.3,0.3,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",0.5
8,1,5,12,0.3,0.5,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",0.9
9,1,5,24,0.3,0.5,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",0.8
10,1,5,36,0.3,0.5,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",0.8
11,1,5,24,0.1,0.3,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",0.5
12,1,5,46,0.3,0.5,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",0.9
13,1,5,12,0.3,0.6,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",1.0
14,1,5,24,0.3,0.6,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",1.0
15,1,5,36,0.3,0.6,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",1.0
16,1,5,46,0.3,0.6,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",1.0
17,1,5,12,0.6,0.3,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",0.9
18,1,5,24,0.6,0.3,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",0.9
19,1,5,36,0.6,0.3,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",1.0
20,1,5,46,0.6,0.3,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",1.0
21,1,5,12,0.6,0.5,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",1.0
22,1,5,36,0.1,0.3,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",0.6
23,1,5,24,0.6,0.5,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",1.0
24,1,5,36,0.6,0.5,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",1.0
25,1,5,46,0.6,0.5,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",0.9
26,1,5,12,0.6,0.6,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",1.0
27,1,5,24,0.6,0.6,0.0,0.8574223237024334,[[ 80 200]],"[[ 103 -152]
 [ 140   78]
 [ 165  116]
 [ -60   18]
 [ 111 -178]]",1.0
