,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,s1
0,3,1,46,0.1,0.3,1.405636977228244,0.0,"[[ 199 -151]
 [-150   95]
 [ 100 -197]]",[[11 10]],0.0,"frozenset({100, 199, -151, -150, -197, 95})"
1,5,8,46,0.1,0.3,1.060665094558243,0.9938046081871816,"[[  98  170]
 [-147  -53]
 [-179 -143]
 [-120 -157]
 [  11  -87]]","[[ -53  -83]
 [  88 -164]
 [ -50  149]
 [-150  -13]
 [ -77   28]
 [ 197  138]
 [ -95   53]
 [-172  -32]]",1.0,"frozenset({98, -157, -120, -87, 170, -53, 11, -179, -147, -143})"
2,7,9,46,0.1,0.3,0.8073192496016969,1.0057016588438672,"[[-102 -114]
 [-113  123]
 [ -11 -150]
 [-111   49]
 [-183  139]
 [-187  188]
 [-159 -113]]","[[ 198  -35]
 [  12  170]
 [ -58  115]
 [ 114 -101]
 [ -38   80]
 [  25 -149]
 [-169  111]
 [ 157  194]
 [ -72 -165]]",0.4,"frozenset({-159, -187, -183, -150, 139, -114, -113, -111, 49, -11, -102, 123, 188})"
3,5,6,46,0.1,0.3,1.0046335256325452,1.2368377788908684,"[[  75  -42]
 [   1   83]
 [-130 -158]
 [ -33  -94]
 [-146 -176]]","[[-111 -111]
 [ 127  -61]
 [-161 -196]
 [-193   94]
 [ -83  -80]
 [ 123 -122]]",0.9,"frozenset({1, -158, -94, 75, -146, -176, 83, -42, -130, -33})"
4,3,8,46,0.1,0.3,1.0925280827230122,1.1565870576544708,"[[-184   53]
 [   9   69]
 [-105 -158]]","[[ 116  141]
 [ 145    2]
 [-140 -120]
 [ -68  -20]
 [ -37 -129]
 [-189  137]
 [ 139  -74]
 [-153  133]]",0.0,"frozenset({-158, 69, 53, -105, -184, 9})"
5,3,8,46,0.1,0.3,1.3582896119659464,0.6741014589425234,"[[ 130 -190]
 [   8  185]
 [ 181  135]]","[[ -75  -84]
 [ 129   -4]
 [  43   67]
 [  60  -54]
 [  40  -38]
 [ 185  -54]
 [-127   64]
 [  83  -74]]",0.0,"frozenset({130, -190, 181, 135, 8, 185})"
6,9,4,46,0.1,0.3,1.0473100508923783,0.6959945224776382,"[[-184  -99]
 [  96   78]
 [ 193  123]
 [  80   10]
 [  30   26]
 [ -73  -86]
 [ -34   74]
 [-163   96]
 [  15  -69]]","[[ -93  -79]
 [ -99   76]
 [-198    9]
 [ -82  -96]]",0.0,"frozenset({193, -184, 10, 74, 78, 15, 80, 26, -163, -34, -99, 96, 30, -86, 123, -73, -69})"
7,7,5,46,0.1,0.3,1.1709552710930708,0.8079294667842116,"[[-166  196]
 [ 190   10]
 [ 188 -127]
 [-149   97]
 [-193   24]
 [ 139  135]
 [ 160 -168]]","[[ -63   56]
 [  98   79]
 [ -98 -113]
 [ -68  103]
 [-103 -192]]",0.0,"frozenset({160, -127, 97, 196, 135, 10, -149, 139, -168, 24, -166, 188, 190, -193})"
8,10,10,46,0.1,0.3,1.2405386814163535,0.8391778047711037,"[[-173   66]
 [ 172   97]
 [-183 -100]
 [  93  100]
 [ 192 -161]
 [ -70 -162]
 [-104  -35]
 [  55   98]
 [ 144  168]
 [-164   78]]","[[-127   26]
 [  45   23]
 [ -28  123]
 [  98  152]
 [  39   91]
 [  97  148]
 [-198   19]
 [  59  -45]
 [ 116  -11]
 [ -92  -34]]",0.0,"frozenset({192, 66, -183, 78, 144, -173, -104, -100, -164, -35, 93, -162, -161, 97, 98, 100, 168, 172, 55, -70})"
9,5,9,46,0.1,0.3,1.2014267124540745,0.811491068155741,"[[-151 -137]
 [ 185  -78]
 [-140  163]
 [ 174   49]
 [ 113  124]]","[[ -51  179]
 [ -68  180]
 [   0 -113]
 [-190  116]
 [-125  105]
 [  85 -119]
 [-110  137]
 [ -23  147]
 [ 116  -10]]",0.1,"frozenset({163, -151, 174, 49, -78, 113, -140, -137, 185, 124})"
10,4,7,46,0.1,0.3,0.8717374642571568,1.2822593740415367,"[[-107   80]
 [ -39 -159]
 [  20   15]
 [ -74  -26]]","[[ 195   77]
 [  73  -66]
 [  90  103]
 [-115   38]
 [-180  169]
 [ -14  -56]
 [ -75 -149]]",1.0,"frozenset({-159, -26, 15, 80, 20, -107, -74, -39})"
11,10,2,46,0.1,0.3,0.7150304584850532,1.1221493728949858,"[[  67  -77]
 [ -54 -177]
 [  74   86]
 [  14 -158]
 [  68  -85]
 [ 141  108]
 [  53 -121]
 [  28 -158]
 [ 178  107]
 [  11 -196]]","[[-88 149]
 [146  39]]",0.2,"frozenset({67, 68, -121, 74, 11, -54, 141, 14, -177, 86, 28, -158, -85, 107, 108, 178, -77, 53, -196})"
12,6,4,46,0.1,0.3,0.9204295250643333,1.1810384703497465,"[[ 140  -81]
 [-145  -29]
 [  65  116]
 [ 166  -86]
 [  79 -123]
 [   8    8]]","[[ -53 -137]
 [ -34   92]
 [ 132    3]
 [-195 -121]]",0.3,"frozenset({65, -29, -123, 166, 8, -86, 140, -145, -81, 79, 116})"
13,4,7,46,0.1,0.3,0.4813024603664696,1.2631863048684329,"[[  31   10]
 [  31 -107]
 [ -52 -113]
 [  67  -96]]","[[-102  130]
 [ -79   68]
 [-157  161]
 [ 117   31]
 [ 137 -173]
 [-142 -184]
 [ 200  105]]",0.0,"frozenset({-96, 67, -107, 10, -52, 31, -113})"
14,3,6,46,0.1,0.3,0.5774418161466481,1.1796780053993376,"[[ 148 -147]
 [ 137  -47]
 [  63  -79]]","[[-158   65]
 [ 113 -101]
 [ -53  128]
 [ -23  -88]
 [ 129   49]
 [  80  -97]]",0.8,"frozenset({-47, -79, 148, 137, -147, 63})"
15,9,3,46,0.1,0.3,0.7194568944083302,1.418644777964949,"[[  59  181]
 [ 158   19]
 [-110   36]
 [  -7 -138]
 [ -84  -34]
 [ -57  -84]
 [  90  -76]
 [  48   43]
 [  21  -23]]","[[ 118  189]
 [-149  195]
 [ 116 -119]]",0.9,"frozenset({-57, -110, 19, 21, 90, -34, 158, 36, -23, 43, -84, 48, -76, 181, -138, -7, 59})"
16,3,3,46,0.1,0.3,1.0726357313635888,1.3543407702077546,"[[-190   72]
 [-110  -29]
 [ -41  -68]]","[[ -79  -36]
 [-129  -71]
 [ -23  161]]",0.2,"frozenset({-190, -29, -110, -41, 72, -68})"
17,4,5,46,0.1,0.3,0.9774253871197468,1.1151149797576638,"[[-64  99]
 [ 27  16]
 [129 -75]
 [166 -85]]","[[  59  129]
 [  89   74]
 [  46  -60]
 [-146 -136]
 [   7 -123]]",0.3,"frozenset({-64, 129, 99, 166, -85, 16, -75, 27})"
18,7,1,46,0.1,0.3,1.144406557505442,0.0,"[[  -8   95]
 [ 138  105]
 [-175  -38]
 [ 153 -140]
 [ -53  106]
 [ -99   17]
 [ 143  198]]",[[119 170]],0.0,"frozenset({198, 105, 138, -53, 106, 143, -175, 17, -140, -8, 153, -38, -99, 95})"
19,9,4,46,0.1,0.3,0.8532530591441518,1.3108764313451144,"[[ 103  -18]
 [ 128   77]
 [-128  -95]
 [  65    9]
 [ 185 -157]
 [   4  107]
 [ -54  170]
 [ -15   32]
 [ -42  157]]","[[ 169  -30]
 [-183   99]
 [-192  -83]
 [  19  184]]",0.8,"frozenset({128, -128, 65, 4, 9, -54, 77, -42, 157, 32, -95, -157, 103, 170, 107, -18, -15, 185})"
20,9,6,46,0.1,0.3,1.0606759995857988,0.9668386071484741,"[[ -67 -150]
 [-127   79]
 [ 174 -157]
 [ 187  -76]
 [  21  -86]
 [ -13   69]
 [-173  104]
 [  -2  153]
 [  24  -47]]","[[-43 198]
 [-22 166]
 [162 -13]
 [107 -81]
 [197 -45]
 [ 42 -73]]",0.0,"frozenset({-127, 69, 79, -47, -173, 21, 24, 153, -157, 104, -150, -86, 174, -13, -76, 187, -67, -2})"
21,6,5,46,0.1,0.3,0.9544607724053934,0.9489903594901902,"[[ 119  -81]
 [-161   86]
 [-191  -58]
 [-146   -2]
 [-141   54]
 [ 134  -52]]","[[  43   11]
 [ 142   48]
 [ 148 -127]
 [ 143  -27]
 [-180   44]]",0.3,"frozenset({-191, -58, 134, -52, -146, -81, -141, 86, 119, 54, -2, -161})"
22,4,3,46,0.1,0.3,0.8162609835941124,1.4060435547641563,"[[ -11  -77]
 [ -10  104]
 [-160  -86]
 [  18   -7]]","[[-110   36]
 [-156 -156]
 [ 135 -191]]",0.5,"frozenset({-160, 104, -86, 18, -77, -11, -10, -7})"
23,2,8,46,0.1,0.3,0.39341515174567887,1.0738612961713916,"[[ -98  -75]
 [ -34 -145]]","[[ 160  133]
 [-123  175]
 [ 188   18]
 [-166   -5]
 [  15 -184]
 [  12   48]
 [ 189  171]
 [ 122 -153]]",0.0,"frozenset({-34, -75, -98, -145})"
24,3,8,46,0.1,0.3,1.116164962886374,0.7992478804609846,"[[  -4  107]
 [ 191  -55]
 [-164  162]]","[[  16  -63]
 [  76 -192]
 [  61   78]
 [ -62 -195]
 [-178  -51]
 [-153 -133]
 [-199   20]
 [ -11   36]]",0.0,"frozenset({162, -164, -55, 107, -4, 191})"
25,4,3,46,0.1,0.3,0.9136725025030309,1.1776161328486532,"[[-102  -58]
 [  28  135]
 [ 165   66]
 [ 134  182]]","[[-183 -141]
 [-107   20]
 [ 147   37]]",0.0,"frozenset({66, 165, -58, 135, 134, 182, -102, 28})"
26,8,8,46,0.1,0.3,0.9400257444597314,1.0546798103611827,"[[ 181  -93]
 [ 143   48]
 [ -36    4]
 [ 141 -136]
 [ 100   11]
 [ -71 -161]
 [ 111   63]
 [ -90 -132]]","[[  85  -98]
 [ 189   91]
 [ -71   27]
 [ 152   84]
 [-113  -58]
 [  44  193]
 [ -91 -111]
 [ -54   56]]",0.7,"frozenset({4, 11, 141, 143, -36, -161, -93, 100, -90, 111, 48, 181, -136, -71, -132, 63})"
27,4,8,46,0.1,0.3,1.2303692542271636,1.00515007024704,"[[ -72  -12]
 [  55  109]
 [ 156 -133]
 [-137 -165]]","[[ -64  -61]
 [  50   38]
 [-124 -100]
 [ 177 -172]
 [ -47  130]
 [-122  -28]
 [ -57  173]
 [  18  132]]",0.3,"frozenset({-165, 109, -137, -12, 55, -72, -133, 156})"
28,4,7,46,0.1,0.3,1.100139224191179,1.180174750826001,"[[  92   67]
 [ 146  153]
 [-148    4]
 [ -41  -33]]","[[-174  -65]
 [ -76 -102]
 [  93  200]
 [ 121  101]
 [  23  197]
 [   2  -31]
 [-114  132]]",0.7,"frozenset({67, 4, -148, 146, -41, 153, 92, -33})"
29,9,10,46,0.1,0.3,1.0646832214314008,1.079983676066091,"[[-157  114]
 [ -22 -141]
 [ 107 -190]
 [ 161  160]
 [ -70   48]
 [   6  -49]
 [-180  -27]
 [ -32  143]
 [   3  102]]","[[-184  154]
 [ 116  -84]
 [  -2  171]
 [  44  -39]
 [ -85   95]
 [   5 -163]
 [-122  -99]
 [ -65  -91]
 [  68  172]
 [-169 -141]]",1.0,"frozenset({-190, 3, 6, -180, -49, 143, 160, 161, -32, -157, -27, 102, -22, 107, 48, 114, -141, -70})"
30,6,4,46,0.1,0.3,0.7899843357491785,1.083337222321012,"[[-178  -82]
 [ -32    0]
 [  92  -52]
 [  88   70]
 [ 152 -104]
 [ -26 -123]]","[[ 152   76]
 [ 158  133]
 [-169   -5]
 [-163  130]]",0.5,"frozenset({-32, 0, -123, 70, -26, -52, -82, -178, -104, 88, 92, 152})"
31,3,10,46,0.1,0.3,0.5744486263618306,1.0790683765937552,"[[-127  -34]
 [ -31 -134]
 [-165  -33]]","[[ 162   53]
 [ -19   15]
 [ 197 -152]
 [ -25   48]
 [-127 -191]
 [ -65 -112]
 [  13 -194]
 [ 105   79]
 [ 149    8]
 [-158 -158]]",0.0,"frozenset({-127, -31, -134, -165, -34, -33})"
32,10,2,46,0.1,0.3,1.045056560518826,0.25303679437582755,"[[ -12   -6]
 [ -86  167]
 [  95  -66]
 [ -41  -49]
 [ -23 -154]
 [-105 -161]
 [ -76  122]
 [ 109  110]
 [ 135  158]
 [-148 -107]]","[[ 32 176]
 [  7 132]]",0.0,"frozenset({135, -49, -107, -105, -41, 158, -161, 95, -154, 167, 122, -23, -86, -148, 109, 110, -76, -12, -6, -66})"
33,4,2,46,0.1,0.3,0.9133621238666338,1.0482970786321317,"[[ -83  166]
 [  71  -78]
 [-192   34]
 [  22  -41]]","[[  13 -196]
 [-199  -79]]",0.0,"frozenset({-192, 34, 166, 71, -83, -78, 22, -41})"
34,2,8,46,0.1,0.3,1.0484307247383842,1.1408920319083482,"[[ 32  25]
 [-58 181]]","[[   0   -1]
 [ -84  -32]
 [  93  189]
 [ 129   33]
 [  22  118]
 [-191 -127]
 [ 124  132]
 [ 160   72]]",0.0,"frozenset({32, 25, 181, -58})"
35,7,5,46,0.1,0.3,1.0994261938020269,0.9232835947192654,"[[  35  189]
 [  97  -42]
 [ -94  161]
 [  51  -95]
 [  36  -84]
 [ -48 -173]
 [ -65  122]]","[[-166 -131]
 [  56  -79]
 [ -46   -5]
 [ -27 -196]
 [   6   43]]",0.4,"frozenset({97, -94, 35, 161, -95, 36, -84, -48, 51, -173, -42, 122, 189, -65})"
