,Num_Cells_Strain1,Num_Cells_Strain2,t_deg_x,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,Replating,New_Stability
0,3,1,46,0.1,0.3,1.405636977228244,0.0,"[[ 199 -151]
 [-150   95]
 [ 100 -197]]",[[11 10]],0.0,0.9,0.0
1,5,8,46,0.1,0.3,1.060665094558243,0.9938046081871816,"[[  98  170]
 [-147  -53]
 [-179 -143]
 [-120 -157]
 [  11  -87]]","[[ -53  -83]
 [  88 -164]
 [ -50  149]
 [-150  -13]
 [ -77   28]
 [ 197  138]
 [ -95   53]
 [-172  -32]]",1.0,0.9,1.0
2,7,9,46,0.1,0.3,0.8073192496016969,1.0057016588438672,"[[-102 -114]
 [-113  123]
 [ -11 -150]
 [-111   49]
 [-183  139]
 [-187  188]
 [-159 -113]]","[[ 198  -35]
 [  12  170]
 [ -58  115]
 [ 114 -101]
 [ -38   80]
 [  25 -149]
 [-169  111]
 [ 157  194]
 [ -72 -165]]",0.4,0.9,0.5
3,5,6,46,0.1,0.3,1.0046335256325452,1.2368377788908684,"[[  75  -42]
 [   1   83]
 [-130 -158]
 [ -33  -94]
 [-146 -176]]","[[-111 -111]
 [ 127  -61]
 [-161 -196]
 [-193   94]
 [ -83  -80]
 [ 123 -122]]",0.9,0.9,0.9
4,3,8,46,0.1,0.3,1.0925280827230122,1.1565870576544708,"[[-184   53]
 [   9   69]
 [-105 -158]]","[[ 116  141]
 [ 145    2]
 [-140 -120]
 [ -68  -20]
 [ -37 -129]
 [-189  137]
 [ 139  -74]
 [-153  133]]",0.0,0.9,0.0
5,3,8,46,0.1,0.3,1.3582896119659464,0.6741014589425234,"[[ 130 -190]
 [   8  185]
 [ 181  135]]","[[ -75  -84]
 [ 129   -4]
 [  43   67]
 [  60  -54]
 [  40  -38]
 [ 185  -54]
 [-127   64]
 [  83  -74]]",0.0,0.9,0.0
6,9,4,46,0.1,0.3,1.0473100508923783,0.6959945224776382,"[[-184  -99]
 [  96   78]
 [ 193  123]
 [  80   10]
 [  30   26]
 [ -73  -86]
 [ -34   74]
 [-163   96]
 [  15  -69]]","[[ -93  -79]
 [ -99   76]
 [-198    9]
 [ -82  -96]]",0.0,0.9,0.0
7,7,5,46,0.1,0.3,1.1709552710930708,0.8079294667842116,"[[-166  196]
 [ 190   10]
 [ 188 -127]
 [-149   97]
 [-193   24]
 [ 139  135]
 [ 160 -168]]","[[ -63   56]
 [  98   79]
 [ -98 -113]
 [ -68  103]
 [-103 -192]]",0.0,0.9,0.0
8,10,10,46,0.1,0.3,1.2405386814163535,0.8391778047711037,"[[-173   66]
 [ 172   97]
 [-183 -100]
 [  93  100]
 [ 192 -161]
 [ -70 -162]
 [-104  -35]
 [  55   98]
 [ 144  168]
 [-164   78]]","[[-127   26]
 [  45   23]
 [ -28  123]
 [  98  152]
 [  39   91]
 [  97  148]
 [-198   19]
 [  59  -45]
 [ 116  -11]
 [ -92  -34]]",0.0,0.9,0.0
9,5,9,46,0.1,0.3,1.2014267124540745,0.811491068155741,"[[-151 -137]
 [ 185  -78]
 [-140  163]
 [ 174   49]
 [ 113  124]]","[[ -51  179]
 [ -68  180]
 [   0 -113]
 [-190  116]
 [-125  105]
 [  85 -119]
 [-110  137]
 [ -23  147]
 [ 116  -10]]",0.1,0.9,0.2
