,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability
0,6,2,12,0.1,0.3,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.0
1,6,2,24,0.1,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
2,4,4,46,0.6,0.3,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",0.0
3,4,4,12,0.6,0.5,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",1.0
4,4,4,24,0.6,0.5,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",1.0
5,4,4,36,0.6,0.5,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",0.9
6,4,4,46,0.6,0.5,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",1.0
7,4,4,12,0.6,0.6,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",1.0
8,4,4,24,0.6,0.6,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",1.0
9,4,4,36,0.6,0.6,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",1.0
10,4,4,46,0.6,0.6,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",1.0
11,6,2,36,0.1,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
12,6,2,46,0.1,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
13,6,2,12,0.3,0.3,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.2
14,6,2,24,0.3,0.3,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.1
15,6,2,36,0.3,0.3,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.3
16,6,2,46,0.3,0.3,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.1
17,6,2,12,0.3,0.5,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.1
18,6,2,24,0.3,0.5,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.1
19,6,2,36,0.3,0.5,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.2
20,6,2,24,0.1,0.3,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.0
21,6,2,46,0.3,0.5,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.0
22,6,2,12,0.3,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
23,6,2,24,0.3,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
24,6,2,36,0.3,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
25,6,2,46,0.3,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
26,6,2,12,0.6,0.3,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.0
27,6,2,24,0.6,0.3,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.0
28,6,2,36,0.6,0.3,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.0
29,6,2,46,0.6,0.3,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.0
30,6,2,12,0.6,0.5,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
31,6,2,36,0.1,0.3,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.0
32,6,2,24,0.6,0.5,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
33,6,2,36,0.6,0.5,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.9
34,6,2,46,0.6,0.5,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
35,6,2,12,0.6,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
36,6,2,24,0.6,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
37,6,2,36,0.6,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
38,6,2,46,0.6,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
39,4,6,12,0.1,0.3,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.9
40,4,6,24,0.1,0.3,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.9
41,4,6,36,0.1,0.3,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
42,6,2,46,0.1,0.3,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",0.0
43,4,6,46,0.1,0.3,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.5
44,4,6,12,0.1,0.5,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
45,4,6,24,0.1,0.5,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
46,4,6,36,0.1,0.5,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
47,4,6,46,0.1,0.5,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
48,4,6,12,0.1,0.6,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
49,4,6,24,0.1,0.6,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
50,4,6,36,0.1,0.6,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
51,4,6,46,0.1,0.6,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
52,4,6,12,0.3,0.3,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.2
53,6,2,12,0.1,0.5,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
54,4,6,24,0.3,0.3,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.1
55,4,6,36,0.3,0.3,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.1
56,4,6,46,0.3,0.3,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.0
57,4,6,12,0.3,0.5,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
58,4,6,24,0.3,0.5,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
59,4,6,36,0.3,0.5,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
60,4,6,46,0.3,0.5,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
61,4,6,12,0.3,0.6,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
62,4,6,24,0.3,0.6,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
63,4,6,36,0.3,0.6,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
64,6,2,24,0.1,0.5,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
65,4,6,46,0.3,0.6,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
66,4,6,12,0.6,0.3,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.0
67,4,6,24,0.6,0.3,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.0
68,4,6,36,0.6,0.3,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.0
69,4,6,46,0.6,0.3,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.0
70,4,6,12,0.6,0.5,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.0
71,4,6,24,0.6,0.5,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.0
72,4,6,36,0.6,0.5,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.0
73,4,6,46,0.6,0.5,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",0.0
74,4,6,12,0.6,0.6,0.7203367624083834,1.2841542091914044,"[[-127 -170]
 [  10 -191]
 [ -20  -23]
 [  34 -108]]","[[ 110 -112]
 [ 108  167]
 [ 162 -125]
 [-129 -198]
 [ 135  -19]
 [-166 -193]]",1.0
75,6,2,36,0.1,0.5,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
