,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,New_Stability,Replating
0,6,2,46,0.1,0.6,1.1703758679619716,1.3643437554920224,"['[[-142  147]', ' [ 162  129]', ' [ 124 -139]', ' [ -11  -68]', ' [ -36   91]', ' [  99  -40]]']","['[[156 118]', ' [-85  34]]']",1.0,1.0,0.9
1,6,2,12,0.3,0.6,1.1703758679619716,1.3643437554920224,"['[[-142  147]', ' [ 162  129]', ' [ 124 -139]', ' [ -11  -68]', ' [ -36   91]', ' [  99  -40]]']","['[[156 118]', ' [-85  34]]']",1.0,1.0,0.9
2,6,2,24,0.3,0.6,1.1703758679619716,1.3643437554920224,"['[[-142  147]', ' [ 162  129]', ' [ 124 -139]', ' [ -11  -68]', ' [ -36   91]', ' [  99  -40]]']","['[[156 118]', ' [-85  34]]']",1.0,1.0,0.9
3,6,2,36,0.3,0.6,1.1703758679619716,1.3643437554920224,"['[[-142  147]', ' [ 162  129]', ' [ 124 -139]', ' [ -11  -68]', ' [ -36   91]', ' [  99  -40]]']","['[[156 118]', ' [-85  34]]']",1.0,1.0,0.9
4,6,2,46,0.3,0.6,1.1703758679619716,1.3643437554920224,"['[[-142  147]', ' [ 162  129]', ' [ 124 -139]', ' [ -11  -68]', ' [ -36   91]', ' [  99  -40]]']","['[[156 118]', ' [-85  34]]']",1.0,1.0,0.9
5,6,2,12,0.6,0.5,1.1703758679619716,1.3643437554920224,"['[[-142  147]', ' [ 162  129]', ' [ 124 -139]', ' [ -11  -68]', ' [ -36   91]', ' [  99  -40]]']","['[[156 118]', ' [-85  34]]']",1.0,1.0,0.9
6,6,2,24,0.6,0.5,1.1703758679619716,1.3643437554920224,"['[[-142  147]', ' [ 162  129]', ' [ 124 -139]', ' [ -11  -68]', ' [ -36   91]', ' [  99  -40]]']","['[[156 118]', ' [-85  34]]']",1.0,1.0,0.9
7,6,2,46,0.6,0.5,1.1703758679619716,1.3643437554920224,"['[[-142  147]', ' [ 162  129]', ' [ 124 -139]', ' [ -11  -68]', ' [ -36   91]', ' [  99  -40]]']","['[[156 118]', ' [-85  34]]']",1.0,1.0,0.9
8,6,2,12,0.6,0.6,1.1703758679619716,1.3643437554920224,"['[[-142  147]', ' [ 162  129]', ' [ 124 -139]', ' [ -11  -68]', ' [ -36   91]', ' [  99  -40]]']","['[[156 118]', ' [-85  34]]']",1.0,1.0,0.9
9,6,2,24,0.6,0.6,1.1703758679619716,1.3643437554920224,"['[[-142  147]', ' [ 162  129]', ' [ 124 -139]', ' [ -11  -68]', ' [ -36   91]', ' [  99  -40]]']","['[[156 118]', ' [-85  34]]']",1.0,1.0,0.9
