,Epochs,Learning_Rate,Batch_Size,Neurons,Dropout,Activation,Initializer,Regularizer,Normalization,Acc_train,Acc_val,Acc_test,f1,Precision,Recall,Optimizer
0,3000,0.0001,512,"[100, 75, 50, 25]",0.25,relu,he_uniform,l1,1,0.6588918566703796,0.6537717580795288,0.6487427592277527,0.7901104092597961,0.6610887050628662,0.9919438362121582,adam
1,3000,0.0001,512,"[100, 75, 50, 25]",0.25,elu,he_uniform,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
2,3000,0.0001,512,"[100, 75, 50, 25]",0.1,elu,he_uniform,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
3,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,he_uniform,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
4,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,he_uniform,l2,1,0.6557948231697083,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
5,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,he_uniform,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651774406433,0.6628676652908325,1.0,adam
6,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,he_uniform,None,1,0.6536656141281127,0.6568665266036987,0.6502901434898376,0.7898612022399902,0.6608515381813049,0.9912084937095642,adam
7,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,he_uniform,None,0,0.6566174745559692,0.6537717580795288,0.6533849120140076,0.7940651178359985,0.6628676652908325,1.0,adam
8,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,he_uniform,None,1,0.6542463064193725,0.6545454502105713,0.6568665266036987,0.7940651178359985,0.6628676652908325,1.0,adam
9,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,he_uniform,None,0,0.6531817078590393,0.655705988407135,0.6576402187347412,0.7940651178359985,0.6628676652908325,1.0,adam
10,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,he_uniform,None,1,0.6551657438278198,0.6514506816864014,0.6529980659484863,0.7935499548912048,0.6634606122970581,0.9970588684082032,adam
11,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,he_uniform,None,0,0.6551657319068909,0.6553191423416138,0.65415860414505,0.7940651178359985,0.6628676652908325,1.0,adam
12,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,he_normal,l1,1,0.6634889841079712,0.6460348248481751,0.6483559012413025,0.7859646081924438,0.6632116436958313,0.974189519882202,adam
13,3000,0.0001,512,"[100, 75, 50, 25]",0.1,tanh,he_uniform,l2,1,0.6590854048728942,0.6514506816864014,0.6564796805381775,0.7953988313674927,0.6661291122436523,0.9971988797187804,adam
14,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,he_normal,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
15,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,he_normal,l1,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
16,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,he_normal,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
17,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,he_normal,l1,1,0.6556496620178223,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
18,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,he_normal,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
19,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,he_normal,l2,1,0.6725381016731262,0.6297872424125671,0.6123791217803956,0.7510572075843811,0.650948166847229,0.908075749874115,adam
20,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,he_normal,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
21,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,he_normal,l2,1,0.6551173448562622,0.6545454502105713,0.6553191423416138,0.7940651178359985,0.6628676652908325,1.0,adam
22,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,he_normal,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
23,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,he_normal,l2,1,0.6553593039512634,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
24,3000,0.0001,512,"[100, 75, 50, 25]",0.1,tanh,he_uniform,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
25,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,he_normal,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
26,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,he_normal,None,1,0.6431647777557373,0.65415860414505,0.6491296052932739,0.7915299534797668,0.6618002653121948,0.9948849678039552,adam
27,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,he_normal,None,0,0.6567626476287842,0.6529980659484863,0.6537717580795288,0.7940651774406433,0.6628676652908325,1.0,adam
28,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,he_normal,None,1,0.6491168737411499,0.6560928344726562,0.6545454502105713,0.7923964262008667,0.6619189381599426,0.9963235259056092,adam
29,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,he_normal,None,0,0.6527461886405945,0.6537717580795288,0.65725337266922,0.7940651178359985,0.6628676652908325,1.0,adam
30,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,he_normal,None,1,0.6519235253334046,0.6560928344726562,0.655705988407135,0.794589102268219,0.6649115085601807,0.9974424839019777,adam
31,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,he_normal,None,0,0.651584804058075,0.6560928344726562,0.6568665266036987,0.7967503666877747,0.6666627526283264,1.0,adam
32,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,zeros,l1,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
33,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,zeros,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
34,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,zeros,l1,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
35,3000,0.0001,512,"[100, 75, 50, 25]",0.1,relu,he_uniform,None,1,0.6540527462959289,0.6580270648002624,0.6468085169792175,0.787956714630127,0.6596063375473022,0.98698091506958,adam
36,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,zeros,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
37,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,zeros,l1,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
38,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,zeros,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
39,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,zeros,l2,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
40,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,zeros,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
41,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,zeros,l2,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
42,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,zeros,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
43,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,zeros,l2,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
44,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,zeros,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
45,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,zeros,None,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
46,3000,0.0001,512,"[100, 75, 50, 25]",0.1,relu,he_uniform,None,0,0.6577788591384888,0.6491296052932739,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
47,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,zeros,None,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
48,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,zeros,None,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
49,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,zeros,None,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
50,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,zeros,None,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
51,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,zeros,None,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651774406433,0.6628676652908325,1.0,adam
52,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,random_uniform,l1,1,0.6574885010719299,0.6545454502105713,0.6483558893203736,0.794952392578125,0.6640536189079285,1.0,adam
53,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,random_uniform,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
54,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,random_uniform,l1,1,0.6529397606849671,0.655705988407135,0.6560928344726562,0.7948995232582092,0.6638163924217224,1.0,adam
55,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,random_uniform,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
56,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,random_uniform,l1,1,0.655020558834076,0.6506769776344299,0.649129593372345,0.7462148666381836,0.6650131940841675,0.8601945042610168,adam
57,3000,0.0001,512,"[100, 75, 50, 25]",0.1,elu,he_uniform,None,1,0.6526493906974793,0.655705988407135,0.6568665266036987,0.7940651178359985,0.6628676652908325,1.0,adam
58,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,random_uniform,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
59,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,random_uniform,l2,1,0.6617953062057496,0.632882022857666,0.632882010936737,0.774505615234375,0.6603403687477112,0.9458590149879456,adam
60,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,relu,random_uniform,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651774406433,0.6628676652908325,1.0,adam
61,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,random_uniform,l2,1,0.6497459530830383,0.6553191423416138,0.6560928344726562,0.7949524521827698,0.6640536189079285,1.0,adam
62,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,elu,random_uniform,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
63,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,random_uniform,l2,1,0.647471570968628,0.655705988407135,0.655705988407135,0.7940651774406433,0.6628676652908325,1.0,adam
64,3000,0.0005,2048,"[100, 75, 50, 25]",0.1,tanh,random_uniform,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
