,Epochs,Learning_Rate,Batch_Size,Neurons,Dropout,Activation,Initializer,Regularizer,Normalization,Acc_train,Acc_val,Acc_test,f1,Precision,Recall,Optimizer
0,3000,0.0002,512,"[100, 75, 50, 25]",0.1,relu,he_uniform,l1,1,0.6741349816322326,0.6746615052223206,0.676982581615448,0.8936739563941956,0.8668851256370544,0.9232606291770936,adam
1,3000,0.0002,512,"[100, 75, 50, 25]",0.1,elu,he_uniform,l2,0,0.6670215368270874,0.6727272748947144,0.667311429977417,0.8806824684143066,0.864709734916687,0.8985454440116882,adam
2,3000,0.0002,512,"[100, 75, 50, 25]",0.0,elu,he_uniform,l2,0,0.6735543131828308,0.6750483512878418,0.6750483512878418,0.8946154117584229,0.8769025206565857,0.9139671325683594,adam
3,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,elu,he_uniform,l2,0,0.6725381016731262,0.6746615052223206,0.6735009670257568,0.8865479826927185,0.8630496859550476,0.9118663668632508,adam
4,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,tanh,he_uniform,l2,1,0.6747156977653503,0.6735009670257568,0.675435197353363,0.8963506817817688,0.8649550676345825,0.9317418336868286,adam
5,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,tanh,he_uniform,l2,0,0.6725865006446838,0.6742746591567993,0.6704061985015869,0.8868685364723206,0.8605701327323914,0.9161458015441896,adam
6,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,relu,he_uniform,None,1,0.6755383372306824,0.6711798906326294,0.675435197353363,0.894511342048645,0.8823930025100708,0.9075779318809508,adam
7,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,relu,he_uniform,None,0,0.6752963900566101,0.6719535827636719,0.676982581615448,0.9048029780387878,0.8877949714660645,0.9234006404876708,adam
8,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,elu,he_uniform,None,1,0.6748608708381653,0.6746615052223206,0.6765957355499268,0.9068781733512878,0.890217661857605,0.925283670425415,adam
9,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,elu,he_uniform,None,0,0.6755867242813111,0.6750483512878418,0.676982581615448,0.9039714932441713,0.8835768103599548,0.9260425567626952,adam
10,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,tanh,he_uniform,None,1,0.6757802963256836,0.6735009670257568,0.6758220434188843,0.9027631878852844,0.8895035982131958,0.9171604514122008,adam
11,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,tanh,he_uniform,None,0,0.6756835103034973,0.6742746591567993,0.676982581615448,0.9056832790374756,0.892111599445343,0.9210819602012634,adam
12,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,relu,he_normal,l1,1,0.6753447890281677,0.6746615052223206,0.676982581615448,0.894439160823822,0.880201518535614,0.9100019931793212,adam
13,3000,0.0002,512,"[100, 75, 50, 25]",0.0,tanh,he_uniform,l2,1,0.6757802963256836,0.6750483512878418,0.676982581615448,0.9108716249465942,0.9035381078720092,0.9195629358291626,adam
14,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,relu,he_normal,l1,0,0.6734091401100158,0.6750483512878418,0.675435197353363,0.8839226961135864,0.8565782308578491,0.9143592715263368,adam
15,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,elu,he_normal,l1,1,0.6733607530593873,0.6742746591567993,0.6715667366981506,0.8943209648132324,0.9135791659355164,0.8771885633468628,adam
16,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,elu,he_normal,l1,0,0.6643116474151611,0.6634429335594177,0.6642166495323181,0.8615521788597107,0.8400371670722961,0.8859032392501831,adam
17,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,tanh,he_normal,l1,1,0.6722477674484253,0.6742746591567993,0.6723404288291931,0.8804326057434082,0.8718387484550476,0.8900486826896667,adam
18,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,tanh,he_normal,l1,0,0.6643600463867188,0.6646034955978394,0.6638298153877258,0.882993221282959,0.8737437129020691,0.894567608833313,adam
19,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,relu,he_normal,l2,1,0.6756351351737976,0.6735009670257568,0.6765957355499268,0.9038711190223694,0.8819290995597839,0.9276861548423768,adam
20,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,relu,he_normal,l2,0,0.6744737386703491,0.6746615052223206,0.6765957355499268,0.9011393785476683,0.8766205906867981,0.9280033707618712,adam
21,3000,0.0005,2048,"[100, 75, 50, 25]",0.0,elu,he_normal,l2,1,0.6745221376419067,0.6746615052223206,0.6750483512878418,0.8966606855392456,0.8927417993545532,0.9018787741661072,adam
