,Unnamed: 0,Unnamed: 0.1,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,Survivors,New_Stability
3,3,3,8,4,12,0.1,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.2,0.5,1.0
29,29,29,8,4,12,0.3,0.5,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.6,0.7,1.0
32,32,32,8,4,24,0.3,0.5,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.5,0.3,1.0
39,39,39,8,4,36,0.3,0.5,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.5,0.7,1.0
41,41,41,8,4,24,0.1,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.1,0.3,1.0
47,47,47,8,4,46,0.3,0.5,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.5,0.5,1.0
60,60,60,4,7,12,0.1,0.3,0.974617469586653,1.0190321823793744,"[[-108 -172]
 [-188  116]
 [  30   52]
 [ -89 -188]]","[[-111 -116]
 [ -98  151]
 [ -41  110]
 [ 198  -27]
 [-171 -105]
 [ 150   -2]
 [ 196   59]]",0.8,0.5,1.0
66,66,66,4,7,24,0.1,0.3,0.974617469586653,1.0190321823793744,"[[-108 -172]
 [-188  116]
 [  30   52]
 [ -89 -188]]","[[-111 -116]
 [ -98  151]
 [ -41  110]
 [ 198  -27]
 [-171 -105]
 [ 150   -2]
 [ 196   59]]",0.8,0.7,1.0
70,70,70,4,7,36,0.1,0.3,0.974617469586653,1.0190321823793744,"[[-108 -172]
 [-188  116]
 [  30   52]
 [ -89 -188]]","[[-111 -116]
 [ -98  151]
 [ -41  110]
 [ 198  -27]
 [-171 -105]
 [ 150   -2]
 [ 196   59]]",0.9,0.7,1.0
79,79,79,4,7,46,0.1,0.3,0.974617469586653,1.0190321823793744,"[[-108 -172]
 [-188  116]
 [  30   52]
 [ -89 -188]]","[[-111 -116]
 [ -98  151]
 [ -41  110]
 [ 198  -27]
 [-171 -105]
 [ 150   -2]
 [ 196   59]]",0.8,0.5,1.0
103,103,103,8,4,12,0.1,0.3,1.177532024727884,0.9261724713943936,"[[-178 -148]
 [-185  -45]
 [ 196    5]
 [ 199 -188]
 [-166  143]
 [-132  -16]
 [ 127  -79]
 [ -82   89]]","[[ 128   15]
 [   3  106]
 [-185    0]
 [-125  137]]",0.5,0.3,1.0
109,109,109,8,4,24,0.1,0.3,1.177532024727884,0.9261724713943936,"[[-178 -148]
 [-185  -45]
 [ 196    5]
 [ 199 -188]
 [-166  143]
 [-132  -16]
 [ 127  -79]
 [ -82   89]]","[[ 128   15]
 [   3  106]
 [-185    0]
 [-125  137]]",0.7,0.5,1.0
113,113,113,8,4,36,0.1,0.3,1.177532024727884,0.9261724713943936,"[[-178 -148]
 [-185  -45]
 [ 196    5]
 [ 199 -188]
 [-166  143]
 [-132  -16]
 [ 127  -79]
 [ -82   89]]","[[ 128   15]
 [   3  106]
 [-185    0]
 [-125  137]]",0.5,0.3,1.0
119,119,119,8,4,46,0.1,0.3,1.177532024727884,0.9261724713943936,"[[-178 -148]
 [-185  -45]
 [ 196    5]
 [ 199 -188]
 [-166  143]
 [-132  -16]
 [ 127  -79]
 [ -82   89]]","[[ 128   15]
 [   3  106]
 [-185    0]
 [-125  137]]",0.3,0.5,1.0
144,144,144,8,4,12,0.3,0.5,1.177532024727884,0.9261724713943936,"[[-178 -148]
 [-185  -45]
 [ 196    5]
 [ 199 -188]
 [-166  143]
 [-132  -16]
 [ 127  -79]
 [ -82   89]]","[[ 128   15]
 [   3  106]
 [-185    0]
 [-125  137]]",0.5,0.5,1.0
150,150,150,8,4,24,0.3,0.5,1.177532024727884,0.9261724713943936,"[[-178 -148]
 [-185  -45]
 [ 196    5]
 [ 199 -188]
 [-166  143]
 [-132  -16]
 [ 127  -79]
 [ -82   89]]","[[ 128   15]
 [   3  106]
 [-185    0]
 [-125  137]]",0.7,0.7,1.0
155,155,155,8,4,36,0.3,0.5,1.177532024727884,0.9261724713943936,"[[-178 -148]
 [-185  -45]
 [ 196    5]
 [ 199 -188]
 [-166  143]
 [-132  -16]
 [ 127  -79]
 [ -82   89]]","[[ 128   15]
 [   3  106]
 [-185    0]
 [-125  137]]",0.7,0.7,1.0
160,160,160,8,4,46,0.3,0.5,1.177532024727884,0.9261724713943936,"[[-178 -148]
 [-185  -45]
 [ 196    5]
 [ 199 -188]
 [-166  143]
 [-132  -16]
 [ 127  -79]
 [ -82   89]]","[[ 128   15]
 [   3  106]
 [-185    0]
 [-125  137]]",0.5,0.7,1.0
164,164,165,8,1,46,0.5,0.3,0.6952459307884866,0.0,"[[ -18 -160]
 [  33 -146]
 [ -37 -134]
 [  45    3]
 [ -24   84]
 [ 146  -14]
 [ -60  187]
 [ -98  -22]]",[[-196  123]],0.9,0.7,1.0
188,188,189,8,1,12,0.5,0.6,0.6952459307884866,0.0,"[[ -18 -160]
 [  33 -146]
 [ -37 -134]
 [  45    3]
 [ -24   84]
 [ 146  -14]
 [ -60  187]
 [ -98  -22]]",[[-196  123]],0.6,0.7,1.0
193,193,194,8,1,24,0.5,0.6,0.6952459307884866,0.0,"[[ -18 -160]
 [  33 -146]
 [ -37 -134]
 [  45    3]
 [ -24   84]
 [ 146  -14]
 [ -60  187]
 [ -98  -22]]",[[-196  123]],0.6,0.7,1.0
198,198,199,8,1,36,0.5,0.6,0.6952459307884866,0.0,"[[ -18 -160]
 [  33 -146]
 [ -37 -134]
 [  45    3]
 [ -24   84]
 [ 146  -14]
 [ -60  187]
 [ -98  -22]]",[[-196  123]],0.6,0.7,1.0
203,203,204,8,1,46,0.5,0.6,0.6952459307884866,0.0,"[[ -18 -160]
 [  33 -146]
 [ -37 -134]
 [  45    3]
 [ -24   84]
 [ 146  -14]
 [ -60  187]
 [ -98  -22]]",[[-196  123]],0.7,0.7,1.0
278,278,290,1,9,12,0.5,0.6,0.0,0.7571789235033516,[[ 163 -161]],"[[ 129  125]
 [ -91 -140]
 [ 181   23]
 [ 172   99]
 [ -51   38]
 [-188  -48]
 [  -2   69]
 [ 144  -23]
 [ -72   47]]",0.1,0.7,1.0
283,283,296,1,9,36,0.5,0.6,0.0,0.7571789235033516,[[ 163 -161]],"[[ 129  125]
 [ -91 -140]
 [ 181   23]
 [ 172   99]
 [ -51   38]
 [-188  -48]
 [  -2   69]
 [ 144  -23]
 [ -72   47]]",0.2,0.7,1.0
287,287,300,1,9,46,0.5,0.6,0.0,0.7571789235033516,[[ 163 -161]],"[[ 129  125]
 [ -91 -140]
 [ 181   23]
 [ 172   99]
 [ -51   38]
 [-188  -48]
 [  -2   69]
 [ 144  -23]
 [ -72   47]]",0.1,0.7,1.0
347,347,360,2,9,12,0.1,0.3,1.4745591776555538,1.0271345442156083,"[[-97 115]
 [198  91]]","[[ 137  109]
 [-101  118]
 [ 104  116]
 [  57   20]
 [-177  -71]
 [  80   25]
 [ 168  128]
 [-151 -147]
 [-111   10]]",0.3,0.3,1.0
371,371,384,2,9,12,0.3,0.5,1.4745591776555538,1.0271345442156083,"[[-97 115]
 [198  91]]","[[ 137  109]
 [-101  118]
 [ 104  116]
 [  57   20]
 [-177  -71]
 [  80   25]
 [ 168  128]
 [-151 -147]
 [-111   10]]",0.9,0.7,1.0
376,376,389,2,9,24,0.3,0.5,1.4745591776555538,1.0271345442156083,"[[-97 115]
 [198  91]]","[[ 137  109]
 [-101  118]
 [ 104  116]
 [  57   20]
 [-177  -71]
 [  80   25]
 [ 168  128]
 [-151 -147]
 [-111   10]]",0.8,0.7,1.0
381,381,394,2,9,36,0.3,0.5,1.4745591776555538,1.0271345442156083,"[[-97 115]
 [198  91]]","[[ 137  109]
 [-101  118]
 [ 104  116]
 [  57   20]
 [-177  -71]
 [  80   25]
 [ 168  128]
 [-151 -147]
 [-111   10]]",0.7,0.7,1.0
384,384,397,2,9,24,0.1,0.3,1.4745591776555538,1.0271345442156083,"[[-97 115]
 [198  91]]","[[ 137  109]
 [-101  118]
 [ 104  116]
 [  57   20]
 [-177  -71]
 [  80   25]
 [ 168  128]
 [-151 -147]
 [-111   10]]",0.2,0.3,1.0
