,Unnamed: 0,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,Survivors,New_Stability
0,0,8,4,12,0.1,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.2,0.9,0.6
1,1,8,4,12,0.1,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.2,0.1,1.0
2,2,8,4,12,0.1,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.2,0.3,1.0
3,3,8,4,12,0.1,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.2,0.5,1.0
4,4,8,4,12,0.1,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.2,0.7,0.5
5,5,8,4,12,0.3,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.7,0.9,0.6
6,6,8,4,12,0.3,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.7,0.1,0.8
7,7,8,4,12,0.3,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.7,0.3,0.8
8,8,8,4,12,0.3,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.7,0.5,0.8
9,9,8,4,12,0.3,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.7,0.7,0.8
10,10,8,4,24,0.3,0.3,1.0743679006202584,0.5844714548883782,"[[ -45   97]
 [   0  199]
 [-150 -134]
 [-130  -32]
 [ 200   73]
 [-142  -31]
 [-152 -194]
 [ 107  185]]","[[ -57 -141]
 [  22   -8]
 [ -24 -198]
 [-115 -185]]",0.4,0.9,0.4
