,Stability,New_Stability
0,0.6,0.7
1,1.0,0.5
2,0.6,1.0
3,0.0,0.1
4,0.3,1.0
5,0.7,1.0
6,0.2,1.0
7,1.0,1.0
8,0.0,0.7
9,0.3,0.5
10,0.9,0.8
11,1.0,1.0
12,1.0,0.9
13,0.7,0.9
14,0.2,0.9
15,0.1,0.3
16,0.0,0.0
17,0.5,1.0
18,0.6,1.0
19,0.0,0.0
20,0.4,0.7
21,0.2,0.7
22,0.4,1.0
23,0.1,0.7
24,0.6,0.9
25,0.2,0.6
26,1.0,1.0
27,1.0,0.9
28,0.5,0.7
29,0.0,0.0
30,0.0,0.0
31,0.0,0.4
32,0.3,0.9
33,0.0,0.3
34,1.0,0.8
35,0.1,1.0
36,0.0,0.0
37,0.0,0.0
38,0.3,1.0
39,0.3,0.8
40,1.0,0.9
41,0.9,1.0
42,0.2,1.0
43,0.0,0.0
44,0.2,0.8
45,0.8,0.8
46,0.1,1.0
47,0.5,0.7
48,0.0,0.0
49,0.4,1.0
50,0.0,0.0
51,0.7,0.7
52,0.7,0.2
53,0.2,0.9
54,0.6,0.5
55,0.3,1.0
56,0.8,0.9
57,0.0,1.0
58,0.0,0.0
59,0.2,1.0
60,0.0,0.0
61,0.0,0.9
62,0.8,1.0
63,0.7,1.0
64,0.0,1.0
65,0.3,1.0
66,0.9,0.7
67,0.0,0.3
68,0.1,1.0
69,0.0,0.0
70,0.2,0.5
71,0.8,1.0
72,0.2,0.0
73,0.0,0.0
74,0.1,0.0
75,1.0,1.0
76,0.0,0.0
77,0.0,0.0
78,0.1,0.2
79,0.2,0.7
80,0.2,0.7
81,0.1,0.2
82,0.0,0.0
83,1.0,0.8
84,0.0,0.0
85,0.0,0.0
86,1.0,0.9
87,0.0,0.5
88,0.1,0.0
89,0.2,0.9
90,0.4,0.8
91,0.3,0.6
92,1.0,1.0
93,0.6,0.8
94,0.5,1.0
95,0.8,0.9
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
