Stability;New_Stability;Diff;;;;
0;0;0;;;;
0;0;0;;;Better;27
1;1;0;;;Worse;11
0;0;0;;;Equal;62
0.2;0.1;-0.1;;;;
0;0;0;;;;
0;0;0;;;;
0;0;0;;;;
0;0;0;;;;
0;0;0;;;;
0.5;0.8;0.3;;;;
0;0;0;;;;
0;0;0;;;;
0.9;0.9;0;;;;
0.2;0.2;0;;;;
0;0;0;;;;
0;0;0;;;;
0.7;0.6;-0.1;;;;
0.7;0.6;-0.1;;;;
0;0;0;;;;
0;0;0;;;;
0.2;0.3;0.1;;;;
0;0;0;;;;
0.6;0.5;-0.1;;;;
0;0;0;;;;
0.5;0.6;0.1;;;;
0;0;0;;;;
1;1;0;;;;
0;0;0;;;;
0;0.1;0.1;;;;
0;0.1;0.1;;;;
0.5;0.8;0.3;;;;
0.8;0.9;0.1;;;;
0.7;0.7;0;;;;
0;0;0;;;;
0;0;0;;;;
0;0;0;;;;
0;0;0;;;;
0.1;0.3;0.2;;;;
1;1;0;;;;
0.1;0;-0.1;;;;
0;0.1;0.1;;;;
0;0;0;;;;
0;0;0;;;;
0;0;0;;;;
0;0;0;;;;
0.3;0.2;-0.1;;;;
0;0;0;;;;
0.6;0.4;-0.2;;;;
0;0.1;0.1;;;;
0;0;0;;;;
0;0;0;;;;
0;0;0;;;;
0;0;0;;;;
0.9;1;0.1;;;;
0;0;0;;;;
0.4;0.5;0.1;;;;
0.9;0.8;-0.1;;;;
1;1;0;;;;
0.5;0.6;0.1;;;;
0;0;0;;;;
0;0;0;;;;
0;0;0;;;;
0;0;0;;;;
0.5;0.7;0.2;;;;
0;0.1;0.1;;;;
1;1;0;;;;
0;0;0;;;;
0;0;0;;;;
1;1;0;;;;
0.1;0.3;0.2;;;;
0;0;0;;;;
0;0;0;;;;
0;0;0;;;;
0.3;0.4;0.1;;;;
0.1;0.3;0.2;;;;
1;1;0;;;;
0;0.2;0.2;;;;
0.8;0.6;-0.2;;;;
0.1;0.1;0;;;;
0.2;0.3;0.1;;;;
0.7;0.8;0.1;;;;
0;0;0;;;;
0.6;0.6;0;;;;
0;0;0;;;;
0;0;0;;;;
0.2;0.5;0.3;;;;
0;0;0;;;;
0;0;0;;;;
0;0;0;;;;
0.3;0;-0.3;;;;
0.4;0.7;0.3;;;;
1;1;0;;;;
0;0.1;0.1;;;;
0.2;0.3;0.1;;;;
0.5;0.4;-0.1;;;;
0.3;0.4;0.1;;;;
0;0;0;;;;
0;0;0;;;;
0;0.1;0.1;;;;
